Twitter,State,Chamber of Congress,Name,Party,screen_name
@RepDougCollins,Georgia 9th District,U.S. Representative,"Collins, Doug",R,RepDougCollins
@CongressmanHice,Georgia 10th District,U.S. Representative,"Hice, Jody",R,CongressmanHice
@RepLoudermilk,Georgia 11th District,U.S. Representative,"Loudermilk, Barry",R,RepLoudermilk
@RepRickAllen,Georgia 12th District,U.S. Representative,"Allen, Rick",R,RepRickAllen
@repdavidscott,Georgia 13th District,U.S. Representative,"Scott, David",D,repdavidscott
@RepTomGraves,Georgia 14th District,U.S. Representative,"Graves, Tom",R,RepTomGraves
@GuamCongressman,Guam At-Large,U.S. Representative,"San Nicolas, Michael F.Q.",D,GuamCongressman
@SenBrianSchatz,Hawaii,U.S. Senator,"Schatz, Brian",D,SenBrianSchatz
@maziehirono,Hawaii,U.S. Senator,"Hirono, Mazie",D,maziehirono
@RepEdCase,Hawaii 1st District,U.S. Representative,"Case, Ed",D,RepEdCase
@TulsiPress,Hawaii 2nd District,U.S. Representative,"Gabbard, Tulsi",D,TulsiPress
@SenatorRisch,Idaho,U.S. Senator,"Risch, Jim",R,SenatorRisch
@MikeCrapo,Idaho,U.S. Senator,"Crapo, Mike",R,MikeCrapo
@RepRussFulcher,Idaho 1st District,U.S. Representative,"Fulcher, Russ",R,RepRussFulcher
@CongMikeSimpson,Idaho 2nd District,U.S. Representative,"Simpson, Mike",R,CongMikeSimpson
@SenDuckworth,Illinois,U.S. Senator,Tammy Duckwort,D,SenDuckworth
@SenatorDurbin,Illinois,U.S. Senator,"Durbin, Richard",D,SenatorDurbin
@RepBobbyRush,Illinois 1st District,U.S. Representative,"Rush, Bobby L.",D,RepBobbyRush
@RepRobinKelly,Illinois 2nd District,U.S. Representative,"Kelly, Robin",D,RepRobinKelly
@RepLipinski,Illinois 3rd District,U.S. Representative,"Lipinski, Daniel",D,RepLipinski
@RepChuyGarcia,Illinois 4th District,U.S. Representative,"Garcia, Jesus “Chuy”",D,RepChuyGarcia
@RepMikeQuigley,Illinois 5th District,U.S. Representative,"Quigley, Mike",D,RepMikeQuigley
@RepCasten,Illinois 6th District,U.S. Representative,"Casten, Sean",D,RepCasten
@RepDannyDavis,Illinois 7th District,U.S. Representative,"Davis, Danny K.",D,RepDannyDavis
@RajaForCongress,Illinois 8th District,U.S. Representative,"Krishnamoorthi, Raja",D,RajaForCongress
@janschakowsky,Illinois 9th District,U.S. Representative,"Schakowsky, Jan",D,janschakowsky
@RepSchneider,Illinois 10th District,U.S. Representative,"Schneider, Bradley",D,RepSchneider
@RepBillFoster,Illinois 11th District,U.S. Representative,"Foster, Bill",D,RepBillFoster
@RepBost,Illinois 12th District,U.S. Representative,"Bost, Mike",R,RepBost
@RodneyDavis,Illinois 13th District,U.S. Representative,"Davis, Rodney",R,RodneyDavis
@RepUnderwood,Illinois 14th District,U.S. Representative,"Underwood, Lauren",D,RepUnderwood
@RepShimkus,Illinois 15th District,U.S. Representative,"Shimkus, John",R,RepShimkus
@RepKinzinger,Illinois 16th District,U.S. Representative,"Kinzinger, Adam",R,RepKinzinger
@RepCheri,Illinois 17th District,U.S. Representative,"Bustos, Cheri",D,RepCheri
@ElectLaHood,Illinois 18th District,U.S. Representative,"LaHood,Darin",R,ElectLaHood
@Braun4Indiana,Indiana,U.S. Senator,"Braun, Mike",R,Braun4Indiana
@SenToddYoung,Indiana,U.S. Senator,"Young, Todd",R,SenToddYoung
@RepVisclosky,Indiana 1st District,U.S. Representative,"Visclosky, Peter",D,RepVisclosky
@RepWalorski,Indiana 2nd District,U.S. Representative,"Walorski, Jackie",R,RepWalorski
@Jim_Banks,Indiana 3rd District,U.S. Representative,"Banks, Jim",R,Jim_Banks
@RepJimBaird,Indiana 4th District,U.S. Representative,"Baird, James",R,RepJimBaird
@SusanWBrooks,Indiana 5th District,U.S. Representative,"Brooks, Susan W.",R,SusanWBrooks
@RepGregPence,Indiana 6th District,U.S. Representative,"Pence, Greg",R,RepGregPence
@RepAndreCarson,Indiana 7th District,U.S. Representative,"Carson, André",D,RepAndreCarson
@RepLarryBucshon,Indiana 8th District,U.S. Representative,"Bucshon, Larry",R,RepLarryBucshon
@VoteForTrey,Indiana 9th District,U.S. Representative,"Hollingsworth, Trey",R,VoteForTrey
@ChuckGrassley,Iowa,U.S. Senator,"Grassley, Chuck",R,ChuckGrassley
@SenJoniErnst,Iowa,U.S. Senator,Joni Ernst,R,SenJoniErnst
@RepFinkenauer,Iowa 1st District,U.S. Representative,"Finkenauer, Abby",D,RepFinkenauer
@daveloebsack,Iowa 2nd District,U.S. Representative,"Loebsack, David",D,daveloebsack
@RepCindyAxne,Iowa 3rd District,U.S. Representative,"Axne, Cynthia",D,RepCindyAxne
@SteveKingIA,Iowa 4th District,U.S. Representative,"King, Steve",R,SteveKingIA
@SenPatRoberts,Kansas,U.S. Senator,"Roberts, Pat",R,SenPatRoberts
@JerryMoran,Kansas,U.S. Senator,"Moran, Jerry",R,JerryMoran
@RogerMarshallMD,Kansas 1st District,U.S. Representative,"Marshall, Roger",R,RogerMarshallMD
@Rep_Watkins,Kansas 2nd District,U.S. Representative,"Watkins, Steve",R,Rep_Watkins
